,name,혼자,액티비티,자연,힐링,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city,1,2,3,4,5,6,7,8,9,10,11,12,mapx,mapy,firstimage
0,12월의왈츠펜션,0.5414829850196838,0.7121514678001404,0.6680589914321899,0.5926492810249329,강원특별자치도 평창군 대관령면 차항길 162-34,B02,B0201,B02010700,0,0,0,1,강원특별자치도,평창군,0.0507685971641827,0.053331074431775,0.0430417118420733,0.1021159793233672,0.1046181627464689,0.1007716811958998,0.1336874093709439,0.0989148824421159,0.0729839902155306,0.0584279231560447,0.0572642326547165,0.0684331427429684,128.6946003434,37.7023899087,http://tong.visitkorea.or.kr/cms/resource/97/2766797_image2_1.jpg
1,133파티룸 한옥스테이점,0.5225118517875671,0.6688725531101227,0.6225854754447937,0.586509907245636,경기도 수원시 팔달구 정조로795번길 10 (팔달로2가),B02,B0201,B02011600,0,0,0,1,경기도,수원시,0.0538977941677976,0.0564838818670652,0.0631478454617663,0.0832762492276962,0.0993127674490364,0.0867799258890473,0.0693227975138711,0.0717915412753362,0.0936785893117957,0.0887633764569232,0.097143902574304,0.0621949980859574,127.0160729035,37.2794632251,
2,24게스트하우스 경희대점,0.513794669508934,0.6881051778793335,0.6387496650218963,0.5907166004180908,"18, Hoegi-ro 29-gil, Dongdaemun-gu, Seoul",B02,B0201,B02011100,0,0,0,0,"18,",Hoegi-ro,0.070535324344328,0.0671971589973016,0.0587328809592148,0.0894314407068031,0.0874502833517404,0.0862660477113068,0.1010414028302851,0.0955157563800084,0.0700631172702547,0.0720258874081141,0.0646395014378791,0.0726174193058035,127.0582075092,37.5909639516,
3,24게스트하우스 서울역점,0.5381475299596786,0.6659930229187012,0.6605551481246948,0.6126978039741516,서울특별시 용산구 후암로57길 41,B02,B0201,B02010900,0,0,0,0,서울특별시,용산구,0.0693223448620666,0.0651683857508421,0.0695362620735938,0.0878908772194077,0.0853552776520041,0.0790838171401109,0.081976727754584,0.0862260065703179,0.077892730650877,0.08325036958401,0.0749413066463925,0.0710139562906504,126.9741246174,37.551714224,http://tong.visitkorea.or.kr/cms/resource/37/1931137_image2_1.JPG
4,2월 호텔 더시그니처 동성로점,0.5558671802282333,0.6778685510158539,0.6713420331478119,0.6294744372367859,대구광역시 중구 동일동,B02,B0201,B02010100,0,0,0,1,대구광역시,중구,0.0588201693510152,0.0602539152664639,0.0622021633046813,0.075719086851523,0.0700271689229674,0.0698260176485991,0.1129984039488721,0.1698954888315064,0.0766784236985106,0.0663136069346282,0.0635218040826804,0.0561013114666955,128.5928712445,35.8696422002,
5,B-STAY 부천호텔,0.5786276414990426,0.5913631796836853,0.6304073989391327,0.6605132699012757,경기도 부천시 길주로 131,B02,B0201,B02010100,0,0,0,0,경기도,부천시,0.0588201693510152,0.0602539152664639,0.0622021633046813,0.075719086851523,0.0700271689229674,0.0698260176485991,0.1129984039488721,0.1698954888315064,0.0766784236985106,0.0663136069346282,0.0635218040826804,0.0561013114666955,126.7571984538,37.5060684364,http://tong.visitkorea.or.kr/cms/resource/77/2022577_image2_1.jpg
6,BK호텔제주,0.6093393236398696,0.707494705915451,0.7068019092082978,0.6806075215339661,제주특별자치도 서귀포시 칠십리로91번길 12 (서귀동),B02,B0201,B02010100,0,0,1,0,제주특별자치도,서귀포시,0.0588201693510152,0.0602539152664639,0.0622021633046813,0.075719086851523,0.0700271689229674,0.0698260176485991,0.1129984039488721,0.1698954888315064,0.0766784236985106,0.0663136069346282,0.0635218040826804,0.0561013114666955,126.5642865558,33.24106514,
7,Dune45호텔,0.6123589873313904,0.6384519934654236,0.7370209097862244,0.8674167394638062,경기도 수원시 팔달구 권광로175번길 31-4,B02,B0201,B02010900,0,0,0,0,경기도,수원시,0.0693223448620666,0.0651683857508421,0.0695362620735938,0.0878908772194077,0.0853552776520041,0.0790838171401109,0.081976727754584,0.0862260065703179,0.077892730650877,0.08325036958401,0.0749413066463925,0.0710139562906504,127.0303359398,37.2636597539,http://tong.visitkorea.or.kr/cms/resource/16/2846916_image2_1.jpg
8,H호텔 세종시티,0.5904275894165039,0.64446662068367,0.6821774899959564,0.7073506295681,충청북도 청주시 흥덕구 오송생명로 178,B02,B0201,B02010100,0,0,1,0,충청북도,청주시,0.0588201693510152,0.0602539152664639,0.0622021633046813,0.075719086851523,0.0700271689229674,0.0698260176485991,0.1129984039488721,0.1698954888315064,0.0766784236985106,0.0663136069346282,0.0635218040826804,0.0561013114666955,127.3287709569,36.6314574175,http://tong.visitkorea.or.kr/cms/resource/26/2903726_image2_1.jpg
9,K-그랜드 호스텔 강남 1(K-GRAND HOSTEL GANGNAM1),0.5258470565080643,0.6350826352834702,0.6238860011100769,0.5855859518051147,서울특별시 강남구 강남대로112길 11,B02,B0201,B02011100,0,0,0,0,서울특별시,강남구,0.070535324344328,0.0671971589973016,0.0587328809592148,0.0894314407068031,0.0874502833517404,0.0862660477113068,0.1010414028302851,0.0955157563800084,0.0700631172702547,0.0720258874081141,0.0646395014378791,0.0726174193058035,127.0252740414,37.5055705015,
10,MJ리조트,0.5828108668327332,0.6991630673408509,0.6690319836139679,0.6117863595485687,제주특별자치도 제주시 구좌읍 해맞이해안로 1651,B02,B0201,B02010500,1,0,1,1,제주특별자치도,제주시,0.0716622217571866,0.068549836866234,0.0686161760529001,0.0890433847658301,0.0888964242983414,0.0856473110286994,0.0795979706105767,0.0807201962540029,0.0766187249701263,0.0811209939436745,0.0779440205836807,0.0696582443707828,126.8795415662,33.5287189754,
11,Nu Motel(엔유모텔),0.6278740366299947,0.6947473088900248,0.6888540188471476,0.635523279507955,서울특별시 송파구 올림픽로10길 8,B02,B0201,B02010900,0,0,1,0,서울특별시,송파구,0.0693223448620666,0.0651683857508421,0.0695362620735938,0.0878908772194077,0.0853552776520041,0.0790838171401109,0.081976727754584,0.0862260065703179,0.077892730650877,0.08325036958401,0.0749413066463925,0.0710139562906504,127.0808743835,37.5109736516,http://tong.visitkorea.or.kr/cms/resource/66/1920666_image2_1.jpg
12,SL호텔 강릉,0.5808367013931275,0.7122899234294892,0.6883038938045501,0.6432151973247529,강원특별자치도 강릉시 주문진읍 주문로 59,B02,B0201,B02010100,0,0,0,0,강원특별자치도,강릉시,0.0588201693510152,0.0602539152664639,0.0622021633046813,0.075719086851523,0.0700271689229674,0.0698260176485991,0.1129984039488721,0.1698954888315064,0.0766784236985106,0.0663136069346282,0.0635218040826804,0.0561013114666955,128.8254411146,37.889209707,http://tong.visitkorea.or.kr/cms/resource/56/2921156_image2_1.jpg
13,V온천모텔,0.559184131026268,0.668590646982193,0.6899470210075378,0.7180062294006347,울산광역시 울주군 상북면 알프스온천2길 10,B02,B0201,B02010900,0,0,1,0,울산광역시,울주군,0.0693223448620666,0.0651683857508421,0.0695362620735938,0.0878908772194077,0.0853552776520041,0.0790838171401109,0.081976727754584,0.0862260065703179,0.077892730650877,0.08325036958401,0.0749413066463925,0.0710139562906504,129.0787735261,35.5535452256,
14,pine view,0.5251140528255038,0.7058156132698059,0.6477954652574327,0.6208444701300727,경기도 수원시 영통구 동수원로 432,B02,B0201,B02011100,1,0,1,1,경기도,수원시,0.070535324344328,0.0671971589973016,0.0587328809592148,0.0894314407068031,0.0874502833517404,0.0862660477113068,0.1010414028302851,0.0955157563800084,0.0700631172702547,0.0720258874081141,0.0646395014378791,0.0726174193058035,127.0427958268,37.2670123671,http://tong.visitkorea.or.kr/cms/resource/92/2606392_image2_1.jpg
15,갈모봉 힐링스테이,0.3123279958963394,0.4066636661688487,0.400363137324651,0.446106066306432,경상남도 고성군 고성읍 이당5길 149-21,B02,B0201,B02010700,0,0,1,0,경상남도,고성군,0.0507685971641827,0.053331074431775,0.0430417118420733,0.1021159793233672,0.1046181627464689,0.1007716811958998,0.1336874093709439,0.0989148824421159,0.0729839902155306,0.0584279231560447,0.0572642326547165,0.0684331427429684,128.2677822725,34.9758092205,
16,강가의성,0.5869552493095398,0.7385803461074829,0.7031646370887756,0.6419201493263245,강원특별자치도 홍천군 북방면 굴지강변로 281,B02,B0201,B02010700,0,0,1,0,강원특별자치도,홍천군,0.0507685971641827,0.053331074431775,0.0430417118420733,0.1021159793233672,0.1046181627464689,0.1007716811958998,0.1336874093709439,0.0989148824421159,0.0729839902155306,0.0584279231560447,0.0572642326547165,0.0684331427429684,127.7832358849,37.6915933201,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg
17,강릉 지중해펜션,0.6512937545776367,0.7055076360702515,0.7236267924308777,0.6740647554397583,강원특별자치도 강릉시 사천면 해안로 904-22,B02,B0201,B02011000,0,0,0,1,강원특별자치도,강릉시,0.0442405410179101,0.048805599453344,0.0527096919107227,0.0963649061445135,0.0953234049917749,0.0962165719938092,0.1333819610666483,0.135477712614219,0.0767260380727987,0.0653607885031272,0.046239320343814,0.0494655752884738,128.8758521976,37.8330588607,
18,게스트하우스 리좀,0.5304054532732282,0.6904098732130868,0.6392522283962795,0.5881384525980268,경상남도 창원시 마산합포구 동서북14길 24,B02,B0201,B02011100,0,0,0,0,경상남도,창원시,0.070535324344328,0.0671971589973016,0.0587328809592148,0.0894314407068031,0.0874502833517404,0.0862660477113068,0.1010414028302851,0.0955157563800084,0.0700631172702547,0.0720258874081141,0.0646395014378791,0.0726174193058035,128.5735799046,35.2091496495,
